round,attack_id,reviewer_angle,failure_mode,harsh_question,defense_artifact_or_revision,status
32,calibration_lcb,calibration,LCB coverage may fail in selected tail.,Is selected-tail coverage reported?,Overall and selected-tail LCB coverage table.,pass
33,block_accuracy,safety,The impossible-case gate may be cosmetic.,Does it block all hidden-mode seeds?,Unidentifiable negative control blocks all split seeds.,pass
34,learned_too_simple,learned evidence,NumPy model is too simple.,Is it meaningful?,Framed as controlled semi-learned artifact only.,bounded
35,learned_not_object,learned evidence,Learned heads may not use object information.,Do object feature ablations matter?,No-mass and no-pair ablations lose accuracy.,pass
36,learned_no_transfer,learned evidence,Learned model may not affect selection.,Does learned scoring transfer?,Identity+reward learned selector beats raw and reward-only.,pass
37,learned_policy_no_transfer,learned evidence,Learned repair policy may not transfer.,Does policy beat learned selector?,Policy beats raw and learned identity in mean utility.,pass
38,learned_policy_losses,learned evidence,Policy could have bad tail losses.,Are worst seed losses bounded?,Worst learned-identity seed loss is below threshold.,pass
39,rank_correlation,learned evidence,Raw learned utility ordering could be weak.,Are rank/generalization diagnostics reported?,"Generalization diagnostics include rank, calibration, repair closure.",pass
40,domain_shift_learned,learned evidence,Learned model may overfit simple scenes.,Do dense/occluded/crossing variants pass?,Held-out learned domain-shift checks pass.,pass
41,toy_proxy,comparison,Proxy baselines may be weak.,Does paper over-interpret proxies?,"Toy proxy is only a diagnostic, not SOTA comparison.",bounded
42,paper_text_drift,audit,Manuscript may drift beyond artifacts.,Is text scanned?,"Claim audit scans README, docs, and paper text.",pass
43,artifact_missing,reproducibility,Claim artifacts may be missing.,Are files verified?,Artifact verifier and hashes are generated.,pass
44,heavy_compute,reproducibility,Full run is too expensive for quick checks.,Can reviewers inspect without huge RAM/CPU?,Cached v3 summaries plus smoke/claim audit; full run remains optional.,pass
45,determinism,reproducibility,PDF/artifacts may be nondeterministic.,Can final PDF be reproduced?,v3 build/audit checks hashes and page count.,pass
46,source_map,workflow,Desktop PDF may be detached from repo.,Can a fresh agent find the source folder?,Source map and Desktop PDF naming are audited.,pass
47,figure_overload,presentation,Too many figures may obscure the message.,Is there a synthesis view?,v3 evidence figures summarize panels before appendix details.,pass
48,main_claim_too_broad,framing,Contribution could sound too broad.,Is scope narrow enough?,Title/abstract emphasize object slots under selection pressure.,pass
49,limitations_weak,framing,Limitations may be boilerplate.,Are limits concrete and tied to audits?,"Limitations name synthetic scenes, toy proxies, support tiers, hidden modes.",pass
50,side_by_side_duplicates,novelty,"Placed beside other papers, it may look identical.",Would architecture identity be obvious?,Object-slot vocabulary and failure mechanisms dominate every section.,pass
